,Unnamed: 0,sentence,label
18,18,"Nevertheless, most participants agreed that, although the level of inventories of unsold homes that homebuilders desired was uncertain, the correction of the housing sector was likely to continue to weigh heavily on economic activity through most of this year--somewhat longer than previously expected.",This sentence is neutral because it simply reports on the consensus of a group of participants without expressing any personal opinion or bias towards US monetary policy. It presents factual information about the housing sector's impact on economic activity.
19,19,Risks to the inflation projection also were seen as balanced.,"This sentence is neutral because it does not express a positive or negative opinion about US monetary policy. It simply states that the risks to the inflation projection are balanced, without advocating for or criticizing any specific policy measures."
20,20,"Fischer, Sahay, and Vegh (2002) present evidence of a strong correlation between fiscal deficits and money creation in high-inflation economies.","This sentence is neutral because it simply presents a factual statement about a study's findings without expressing any personal opinion, endorsement, or criticism of US monetary policy."
21,21,The significant decreases that had occurred in the prices of fuel oil and gasoline were a positive factor that would continue to bolster household spending for a while.,"This sentence is neutral because it simply states a fact about the impact of decreased fuel prices on household spending, without expressing any judgment or opinion on US monetary policy."
22,22,The high oil prices would themselves cut into demand growth and tend to stabilize the system.,"This sentence is hawkish because it suggests that high oil prices, which can lead to inflation, would naturally regulate demand growth, implying a preference for tighter monetary policy to control inflation."
23,23,"However, the historical record suggests that permanently lowering inflation expectations may require keeping monetary policy tight for a substantial period, resulting in considerable output and employment losses for a time.","This sentence is hawkish because it advocates for a tight monetary policy, which involves higher interest rates and reduced spending, to lower inflation expectations, despite potential short-term economic losses."
24,24,"There is, in fact, an unusual discrepancy between the unemployment and capacity utilization rates, compared to previous expansions; that is, the capacity utilization rate is lower than would have been expected, based on past experience, at the prevailing unemployment rate.","This sentence is dovish because it suggests that despite low unemployment, there is still unused economic capacity, implying that there is room for monetary policy to stimulate further growth without causing inflation."
25,25,A number of participants stressed that recently enacted fiscal support would help address some of the hardships faced by these groups and that monetary policy would also help by promoting the economy's return to the Committee's goals of broad-based and inclusive maximum employment and price stability.,"This sentence is dovish because it suggests a preference for policies that stimulate economic growth and employment, even at the risk of higher inflation, which is a characteristic of a dovish monetary policy stance."
26,26,"The members viewed the outlook for core price inflation as still quite benign, largely reflecting the ample availability of labor and other producer resources to accommodate rising economic activity and the favorable prospects for further robust growth in productivity.","This sentence is neutral because it simply presents an observation of the current economic situation and future prospects without expressing any personal opinion, approval, or disapproval of the US monetary policy."
27,27,"While a number of members saw some slight further disinflation as the most plausible outcome, no one expected a material change in inflation.",This sentence is neutral because it simply reports differing views on future inflation without taking a stance or expressing a preference for one outcome over the other.
28,28,"Consumer prices had edged up in recent months, but year-over-year consumer inflation remained at a very low level.","This sentence is dovish because it suggests that inflation is not a significant concern, implying that there is no urgent need to raise interest rates to curb inflation."
29,29,"Moreover, many members saw some risk that an easing move at this point might trigger a strong further advance in stock market prices that would not be justified on the basis of likely future earnings and could therefore lead to a relatively sharp and disruptive market adjustment later.","This sentence is neutral because it neither supports nor criticizes the idea of an easing move in US monetary policy, but rather presents a potential risk associated with it."
30,30,All members agreed that the FOMC statement for this meeting should again indicate that policy accommodation could be removed at a pace that was likely to be measured but that the Committee would respond to changes in economic prospects as needed to maintain price stability.,"This sentence is hawkish because it suggests a potential tightening of monetary policy, with the FOMC indicating a possible removal of policy accommodation, which typically means increasing interest rates or reducing money supply to combat inflation."
31,31,"As students of economics, you may already know that the Federal Reserve conducts monetary policy to support a strong and stable economy in the United States.","This sentence is neutral because it simply states a fact about the Federal Reserve's role in conducting monetary policy, without expressing any personal opinion, judgment, or bias towards the effectiveness or appropriateness of such policy."
32,32,Nonfarm payroll employment continued to expand through July and the civilian unemployment rate was unchanged at 4.,"This sentence is hawkish because it indicates a strong labor market with steady employment growth and low unemployment, which could lead to inflationary pressures and therefore, a tighter monetary policy."
33,33,"In the context of this discussion, many participants commented that their view of potential output growth was somewhat more optimistic than that of the staff.","This sentence is hawkish because it suggests that the participants believe the economy can grow at a faster rate without causing inflation, implying they may support higher interest rates to prevent overheating."
34,34,"A few members expressed interest in using language specifying a period of time during which the federal funds rate was expected to remain exceptionally low, rather than a calendar date, arguing that such language might be better to indicate a constant stance of monetary policy over time.","This sentence is dovish because it suggests a preference for keeping interest rates low for an extended period of time, a policy approach typically associated with stimulating economic growth and reducing unemployment."
35,35,"While overall employment conditions, the buildup of household net worth, and access to financing would bolster consumer expendi- tures, members also cited a number of limiting factors.",This sentence is neutral because it presents both positive and negative aspects of the US monetary policy without showing a preference or bias towards either side. It simply states facts without expressing approval or disapproval.
36,36,"So, up until the first week of October 2021, the story of high inflation being temporary was holding up, and the labor market improvements had slowed but were continuing.","This sentence is neutral because it simply presents factual information about the state of inflation and the labor market without expressing any personal opinion, bias, or suggestion for future monetary policy."
37,37,"Policy tightening started last year, as emerging markets including Mexico and Brazil increased rates substantially amid expectations of accelerating inflation.","This sentence is hawkish because it refers to a policy of increasing interest rates, a strategy typically employed to curb inflation, indicating a more aggressive stance on monetary policy."
38,38,But the cumulative force of recent developments appears likely to yield a slowing in the pace of growth next year.,"This sentence is dovish because it suggests a potential slowdown in economic growth, which often leads to lower interest rates or other accommodative monetary policies to stimulate the economy."
39,39,The staff interpreted the increases in prices of energy and nonmarket services that recently boosted consumer price inflation as largely transitory.,"This sentence is neutral because it simply reports on a factual occurrence (increases in prices of energy and nonmarket services) without expressing any judgment, approval, or disapproval of US monetary policy."
40,40,"Although in a number of sectors of the economy the imbalances between demand and supplyâ€”including labor supplyâ€”are substantial, I do continue to judge that these imbalances are likely to dissipate over time as the labor market and global supply chains eventually adjust and, importantly, do so without putting persistent upward pressure on price inflation, wage gains adjusted for productivity, and the 2 percent longer-run inflation objective.","This sentence is neutral because it neither criticizes nor praises US monetary policy. Instead, it objectively describes the current economic situation and predicts future trends without expressing a positive or negative opinion."
41,41,"Thus, avoiding a further substantial fall in inflation should be a priority of monetary policy.","This sentence is dovish because it prioritizes preventing a decrease in inflation, suggesting a preference for lower interest rates and an expansionary monetary policy."
42,42,"With crude oil prices expected to gradually decline from their current levels, the boost to retail food prices from the drought anticipated to be only temporary and comparatively small, long-run inflation expectations assumed to remain stable, and substantial resource slack persisting over the projection period, the staff continued to forecast that inflation would be subdued through 2014.","This sentence is neutral because it simply presents a factual prediction about inflation based on various economic factors, without expressing any personal opinion, approval, or disapproval of the US monetary policy."
43,43,"With about $250 billion of these inflation-protected securities now outstanding, we can get readings along the entire maturity structure of real interest rates.","This sentence is neutral because it simply states a fact about the current status of inflation-protected securities and their impact on understanding real interest rates, without expressing any judgment or opinion on US monetary policy."
44,44,"Moreover, not all measures of core inflation had accelerated; in particular, core PCE price inflation had been quite stable on a twelve-month basis for some time.","This sentence is hawkish because it suggests that inflation is under control and stable, implying that there may be room for the Federal Reserve to raise interest rates without risking an increase in inflation."
45,45,The pace of job gains slowed and the unemployment rate held steady.,This sentence is neutral because it simply states facts about the job market without expressing any opinion or judgement about US monetary policy.
46,46,Participants observed that both overall inflation and inflation for items other than food and energy remained near 2 percent on a 12-month basis.,"This sentence is neutral because it simply states a fact about the current state of inflation in the US without expressing any opinion, judgement, or suggesting any specific action regarding the monetary policy."
47,47,The slowdown would reflect factors that were expected to damp the growth of overall business investment spending and a greater saturation of potential computer markets that might lead to more emphasis on replacement demand rather than the further expansion of capacity.,"This sentence is dovish because it suggests a slowdown in economic growth and business investment, implying a need for lower interest rates to stimulate economic activity."
48,48,An easing of supply constraints was expected to support continued gains in economic activity and employment as well as a reduction in inflation.,"This sentence is neutral because it simply states an expected outcome of an easing of supply constraints on economic activity, employment, and inflation, without expressing any personal opinion or bias towards US monetary policy."
49,49,"However, with tightening resource constraints indicating unsustainable growth, only tentative signs that growth might be slowing, and various factors that had been damping prices now turning around, all the members agreed on the need for a slight tightening at this meeting to raise the odds on containing inflation and forestalling the inflationary imbalances that would undercut the very favorable performance of the economy.","This sentence is hawkish because it advocates for a tightening of monetary policy, specifically through raising interest rates, in order to contain inflation and maintain economic stability. This approach prioritizes inflation control over boosting economic growth."
50,50,"With regard to the nation as a whole, members noted that rising levels of employment and incomes were continuing to foster solid growth in consumer spending, a development that was abetted by the sharp increases that had occurred in household wealth as a consequence of the extended uptrend in stock market prices and to a lesser extent the appreciation of home prices.","This sentence is hawkish because it suggests that the economy is strong, with rising employment, incomes, and consumer spending, which could lead to inflation. Therefore, a tighter monetary policy might be needed to prevent overheating."
51,51,"Members who preferred to retain an asymmetrical directive agreed that, although there was little likelihood of a further policy change during the intermeeting period, such a directive was the best way to convey their concerns about the risks of rising inflation and the potential need for policy tightening over time.","This sentence is hawkish because it suggests a preference for policy tightening to combat the risks of rising inflation, a typical characteristic of a hawkish monetary policy stance."
52,52,"Regarding the economic outlook, most participants agreed that economic growth was likely to remain moderate over coming quarters and then pick up gradually.","This sentence is neutral because it does not express a positive or negative opinion about US monetary policy, but simply reports on the consensus of most participants about the expected economic growth."
53,53,"One of the things we’ve learned from our financial crisis and from a series of financial crises in history and around the globe is that, very commonly, when the economy takes a hit and falls into a recession, that productivity doesn’t pick up to pre-recession levels and that there looks like there is a permanent hit to the path of potential output for the economy, which is called “hysteresis.” And I raised the question as to whether or not this might operate in the opposite direction as well.","This sentence is neutral because it does not express an opinion or take a stance on US monetary policy. Instead, it presents a factual observation about the impact of financial crises on economic productivity and potential output, and raises a question for further consideration."
54,54,If you lay the crosscurrents on top of that—concerns about global growth and trade developments—you have the full picture.,"This sentence is neutral because it does not express any personal opinion, judgement, or bias towards US monetary policy. It simply presents a factual statement about the factors influencing the policy."
55,55,"With today's action, the real federal funds rate--measured as the difference between the nominal funds rate and a moving average of core PCE inflation--would move slightly into positive territory.","This sentence is hawkish because it suggests an increase in the federal funds rate, which is a tool used by central banks to tighten monetary policy, often to combat inflation or overheating in the economy."
56,56,"Despite a recent uptick in consumer prices, year-over-year consumer inflation remained at a very low level.","This sentence is dovish because it suggests that despite a slight increase in consumer prices, the overall inflation rate remains low, implying that there is no urgent need to raise interest rates to curb inflation."
57,57,"Also, the recent evidence could be interpreted as indicating that the surprisingly sharp decline in measured inflation in 2003 exaggerated the drop in the underlying rate of inflation.","This sentence is dovish because it suggests that the decline in inflation in 2003 was overstated, implying that there is less need for restrictive monetary policy measures such as interest rate hikes to curb inflation."
58,58,This change has led many governments to be more willing to adopt institutional changes to improve central bank governance that have bolstered central bank credibility for maintaining low inflation.,"This sentence is hawkish because it suggests a focus on maintaining low inflation, a key goal of hawkish monetary policy, through improving central bank governance and credibility."
59,59,"Looking ahead, reports from retailer contacts were somewhat mixed; many anticipated relatively depressed holiday sales and where possible were making efforts to limit buildups of holiday merchandise, while other retailers were confident that sales would be reasonably well maintained, albeit generally somewhat below levels or growth rates experienced in previous holiday seasons.","This sentence is neutral because it presents both positive and negative perspectives on the future of retail sales without favoring one over the other, thus not expressing a clear stance on US monetary policy."
60,60,"If we think that the potential growth rate of the economy is somewhere between, somewhere around 1.75 percent, 2.8 percent is strong economic growth.","This sentence is dovish because it suggests a lower threshold for strong economic growth, implying a preference for lower interest rates to stimulate economic activity."
61,61,Homebuilding was forecast to decline somewhat but to stabilize at a relatively high level in the context of continued income growth and the generally favorable cash-flow affordability of home ownership.,This sentence is neutral because it does not express a positive or negative opinion about US monetary policy. It simply presents a factual prediction about homebuilding trends without attributing them to any specific policy or action.
62,62,Several participants stated that such risks should not inhibit the Committee from pursuing its mandated objectives for inflation and employment.,This sentence is neutral because it simply reports the views of several participants without expressing agreement or disagreement with their stance on US monetary policy.
63,63,Proponents of this strategy sometimes describe this approach as reducing inflation cycle-to-cycle or describe the economy as being one recession from price stability.,"This sentence is hawkish because it suggests a preference for tighter monetary policy to control inflation and achieve price stability, even at the risk of inducing a recession."
64,64,Risks to the inflation projection also were seen as balanced.,"This sentence is neutral because it does not express a positive or negative opinion about US monetary policy, but simply states that the risks to the inflation projection are balanced."
65,65,"This direction of causality may obscure the negative relationship, running from higher inflation to lower growth, presumed to hold in the longer term.","This sentence is hawkish because it suggests a belief that higher inflation leads to lower economic growth in the long term, implying a preference for tighter monetary policy to control inflation."
66,66,"In the textbook world of Mundell-Fleming, unanticipated monetary ease leads to lower interest rates, a drop in the home currency's value, and a stimulus to net exports.","This sentence is dovish because it supports the idea of monetary easing, which involves lowering interest rates to stimulate economic growth, a typical characteristic of a dovish monetary policy stance."
67,67,"The Committee again anticipated that it likely would be appropriate to maintain the current target range for the federal funds rate for a considerable time after the asset purchase program ends, especially if projected inflation continued to run below the Committee's 2 percent longer-run goal, and provided that longer-term inflation expectations remained well anchored.","This sentence is dovish because it suggests the Committee plans to keep interest rates low for a considerable time, indicating a preference for stimulating economic growth over controlling inflation."
68,68,"Staff Economic Outlook In the economic forecast prepared by the staff for the June FOMC meeting, real GDP growth in the second half of this year was expected to step up from its pace in the first half.","This sentence is hawkish because it predicts an increase in real GDP growth, suggesting a strong economy. This could lead to tighter monetary policy, including higher interest rates, to prevent overheating and inflation, which is a characteristic of a hawkish stance."
69,69,"That said, the data also indicate that a surge in COVID-19 cases in the summer and supply-chain bottlenecks held back economic activity in the third quarter.","This sentence is dovish because it suggests that economic activity has been negatively impacted by external factors (COVID-19 surge and supply-chain issues), implying a need for continued monetary support or lower interest rates to stimulate the economy."
70,70,"Eventually, financial markets may develop the instruments and associated analytical techniques for unearthing these implicit changes in the price level with some precision.",This sentence is neutral because it does not express any opinion or judgement about US monetary policy. It simply discusses a potential future development in financial markets.
71,71,"In May, there was a notable rebound in employment and decline in unemployment, and these developments are certainly welcome.","This sentence is hawkish because it suggests a positive outlook on the economy, which could lead to tighter monetary policy, such as higher interest rates, to prevent overheating and control inflation."
72,72,"These inferences are supported by some empirical evidence.10 On the other hand, the increased liquidity of home equity may lead consumer spending to respond more than in past years to changes in the values of their homes; some evidence does suggest that the correlation of consumption and house prices is higher in countries, like the United States, that have more sophisticated mortgage markets (Calza, Monacelli, and Stracca, 2007).","This sentence is neutral because it presents empirical evidence supporting two different perspectives without favoring one over the other, thus maintaining an unbiased stance on the impact of US monetary policy."
73,73,"Finally, while my assessment of maximum employment incorporates a wide range of indicators to assess the state of the labor marketâ€”including indicators of labor compensation, productivity, and price-cost markupsâ€”the employment data I look at, such as the Kansas City Fed's Labor Market Conditions Indicators, are historically highly correlated with the unemployment rate.9 My expectation today is that the labor market by the end of 2022 will have reached my assessment of maximum employment if the unemployment rate has declined by then to the SEP median of modal projections of 3.8 percent.","This sentence is neutral because it does not express an opinion or judgement about US monetary policy. Instead, it provides an objective analysis of labor market indicators and unemployment rate projections."
74,74,"A variety of indicators, along with anecdotal reports, suggested that employment was expanding at a fairly good pace and labor compensation was rising moderately.","This sentence is hawkish because it suggests a strong economy with increasing employment and wages, which could lead to inflation. In response, policymakers may raise interest rates to prevent the economy from overheating."
75,75,"In addition, at every policy meeting, each member of the MPC is operating with the same information from the staff, and before the quarterly meetings that precede an Inflation Report, the members have sat through a number of discussions covering all aspects of the forecast.","This sentence is neutral because it simply describes the process of policy meetings without expressing any opinion or judgement about US monetary policy, its effectiveness, or its members."
76,76,"As a policymaker, I'd like to think that well-executed monetary and fiscal policies--each focused importantly on their respective long-run goals--played some role in creating economic conditions that fostered noninflationary economic growth.","This sentence is neutral because it does not express a positive or negative opinion about US monetary policy, but rather discusses the potential impact of well-executed policies on economic growth."
77,77,"Inflation is a significant challenge for everyone, but it hits lower- and moderate-income people the hardest, since they spend a larger share of their incomes on necessities and often have less savings to fall back on.","This sentence is hawkish because it emphasizes the negative impact of inflation, suggesting a need for tighter monetary policy to control rising prices, which is a characteristic of a hawkish stance."
78,78,"We’re charged by Congress with trying to pursue maximum employment, and we have taken that very seriously.","This sentence is dovish because it emphasizes the focus on maximum employment, suggesting a preference for lower interest rates to stimulate job growth, a typical characteristic of a dovish monetary policy stance."
79,79,"In response to the resulting high inflation, the Fed was obliged to raise interest rates, and the economy weakened.","This sentence is hawkish because it suggests a preference for higher interest rates to combat inflation, even at the risk of weakening the economy. This is a characteristic of a hawkish monetary policy stance."
80,80,"But again, our basic forecast is one which is basically, as was pointed out earlier by Mr. Hilsenrath, a moderately optimistic forecast, where growth picks up as we pass through this period of fiscal restraint; where unemployment continues to fall at a gradual pace as it has been since last September—and we have made some progress since last September; and inflation rises slowly towards 2 percent.","This sentence is hawkish because it predicts economic growth, falling unemployment, and a gradual rise in inflation, all of which suggest a tightening of monetary policy to prevent the economy from overheating."
81,81,The ebbing of stimulus from last year's tax cuts also could tend to slow growth in consumer spending.,"This sentence is dovish because it suggests a potential slowdown in economic growth, which could lead to a more cautious or accommodative monetary policy, such as lower interest rates, to stimulate spending and growth."
82,82,Most FOMC participants anticipate that inflation will gradually move up to the FOMC's 2 percent target over coming years.,"This sentence is dovish because it suggests that the FOMC participants expect a slow and gradual increase in inflation, implying a slower pace of interest rate hikes, which is characteristic of a dovish monetary policy stance."
83,83,"Stock prices and existing home sales are somewhat correlated, a not altogether unexpected result, because each is affected by interest rates and presumably the gains from each help finance the other.","This sentence is neutral because it simply states a factual observation about the correlation between stock prices and home sales, and their relationship with interest rates, without expressing any judgment or opinion on US monetary policy."
84,84,Several saw that outlook as depending importantly on continued strengthening of the labor market or on an above-trend pace of economic activity.,"This sentence is neutral because it does not express a positive or negative opinion about US monetary policy. Instead, it simply states a fact about some people's views on the factors that could influence the economic outlook."
85,85,"M3 growth slowed less than that of M2 in November, in part because of stepped-up issuance of large time deposits as banks reduced their reliance on funding from overseas offices.","This sentence is hawkish because it suggests a tightening of monetary policy. The slowed growth of M3 and M2, along with the increased issuance of large time deposits, indicates a reduction in the money supply, a common hawkish strategy to combat inflation."
86,86,"When the Committee decides to begin to remove policy accommodation, it will take a balanced approach consistent with its longer-run goals of maximum employment and inflation of 2 percent.","This sentence is hawkish because it suggests a tightening of monetary policy, or ""removing policy accommodation,"" which typically involves increasing interest rates to control inflation, a common strategy of a hawkish stance."
87,87,"October 12, 2021 U.S. Economic Outlook and Monetary Policy Vice Chair Richard H. Clarida At the 2021 Institute of International Finance Annual Membership Meeting: Sustainable Economic Growth and Financial Stability in a Diverging, Decarbonizing, Digitizing, Indebted World, Washington, D.C. (via webcast) Share It is my pleasure to meet virtually with you today at the 2021 Institute of International Finance Annual Membership Meeting.1 I regret that we are not meeting in person, but I look forward, as always, to a conversation with my good friend and one-time colleague Tim Adams.","This sentence is neutral because it does not express any opinion, positive or negative, about US monetary policy. It merely states the speaker's participation in a meeting and his anticipation of a conversation with a colleague."
88,88,"Recent increases in house prices and equity prices were positives, but participants generally expected no more than moderate growth in consumer spending over the near term.","This sentence is neutral because it presents both positive and negative aspects of the current economic situation, without expressing a preference for a particular monetary policy. It simply reports on the state of the economy."
89,89,"Construction employment posted another large increase, probably owing in part to hurricane-related activity.",This sentence is neutral because it simply states a fact about construction employment without expressing any judgment or opinion about US monetary policy.
90,90,"Also, in the view of a number of participants, the economy was possibly producing in the neighborhood of its potential, and the persistent strength in spending of late suggested that resource markets could tighten further and inflation pressures build.","This sentence is hawkish because it suggests that the economy is operating at its potential and there is a risk of inflation increasing due to strong spending and tightening resource markets, implying a need for higher interest rates to prevent overheating."
91,91,"With gross retail margins amounting to about 30 percent of sales, a reduction in currently elevated margins could make an important contribution to reduced inflation pressures in consumer goods.","This sentence is hawkish because it suggests a preference for measures that could reduce inflation, such as decreasing retail margins. A hawkish stance typically favors higher interest rates to keep inflation in check."
92,92,"Because there is considerable uncertainty about the persistence, breadth, and magnitude of climate-related shocks to the economy, it could be challenging to assess what adjustments to monetary policy are likely to be most effective at keeping the economy operating at potential with maximum employment and price stability.8 We need only look back to the oil price shocks of the 1970s and 1980s to see how difficult it was for monetary policymakers to assess accurately the likely persistence of the effects on inflation and output and the appropriate response.","This sentence is neutral because it does not advocate for a specific monetary policy or criticize current policies. Instead, it acknowledges the complexity and uncertainty involved in making adjustments to monetary policy in response to climate-related economic shocks."
93,93,"In keeping with its usual procedures under the Humphrey-Hawkins Act, the Committee would review its ranges at midyear, or sooner if interim conditions warranted, in light of the growth and velocity behavior of the aggregates and ongoing economic and financial developments.","This sentence is neutral because it simply describes a process or procedure that the Committee would follow, without expressing any opinion, judgment, or bias about US monetary policy."
94,94,"With the boost from these factors fading, real GDP growth was projected to step down noticeably in 2023 and to be roughly equal to potential output growth in 2023 and 2024.",This sentence is neutral because it simply presents a projection of future economic conditions without expressing any judgment or opinion on the effectiveness or appropriateness of current US monetary policy.
95,95,"This assessment will take into account a wide range of information, including measures of labor market conditions, indicators of inflation pressures and inflation expectations, and readings on financial and international developments.","This sentence is neutral because it does not express any opinion, favor, or criticism towards US monetary policy. It simply states the factors that will be considered in the assessment."
96,96,"One participant suggested that the Committee could announce an additional, lower set of thresholds for inflation and unemployment; another indicated that the Committee could provide guidance stating that it would not raise its target for the federal funds rate if the inflation rate was expected to run below a given level at a specific horizon.","This sentence is neutral because it simply reports different suggestions made by participants about US monetary policy, without expressing any personal opinion, endorsement, or criticism towards these suggestions."
97,97,"Much of the current spending for equipment and software reportedly represented replacement demand largely associated with the short useful lives of various types of equipment, and there appeared to be little spending that would entail capital deepening.","This sentence is neutral because it simply presents factual information about the current state of spending for equipment and software without expressing any personal opinion, judgment, or bias towards US monetary policy."
98,98,"The changes to the policy statement that we made over the past few FOMC meetings bring our policy guidance in line with the new framework outlined in the revised Statement on Longer-Run Goals and Monetary Policy Strategy that the Committee approved last August.4 In our new framework, we acknowledge that policy decisions going forward will be based on the FOMC's estimates of ""shortfalls [emphasis added] of employment from its maximum level""â€”not ""deviations.""","This sentence is dovish because it indicates a shift in policy towards prioritizing employment levels over inflation control, suggesting a more accommodative monetary policy stance."
99,99,"Their key finding, illustrated in figure 3, is that Federal Reserve policy rate surprises attributed to stronger U.S. growth generally have only moderate spillovers to EM financial conditions, whereas U.S. policy rate changes attributed to U.S. inflationary pressures trigger more substantial spillovers to EM financial conditions.","This sentence is neutral because it simply presents research findings about the impact of US monetary policy on emerging markets without expressing any personal opinion, endorsement, or criticism of the policy."
100,100,"In the 1988-90 period, the behavior of crude oil prices, unemployment, and the exchange rate were not especially surprising or anomalous.",This sentence is neutral because it simply states facts about the economic conditions during a specific period without expressing any judgment or opinion about US monetary policy.
101,101,"As its name implies, this rule does not prescribe a particular level of the federal funds rate at a given time but rather how the existing rate should change from quarter to quarter based on two gaps--the difference between inflation and its desired level as well as the difference between the unemployment rate and its longer-run normal level.20 In contrast to the other two rules, the change rule does not take a stand on the value of the longer-run neutral level of the real federal funds rate, thus avoiding a potential source of error.","This sentence is neutral because it simply describes how a specific rule functions in relation to US monetary policy, without expressing any judgment, approval, or disapproval of the policy or its effects."
102,102,"It was generally agreed that developments relating to energy would continue to exert upward pressure on prices over the near term, including the passthrough or indirect effects of higher oil prices on core measures of inflation.","This sentence is hawkish because it suggests an expectation of rising inflation due to energy developments and higher oil prices, which could lead to tighter monetary policy to control inflation."
103,103,"Inflation compensation for 2007 declined modestly, perhaps reflecting the further drop in spot energy prices, but was largely unchanged at longer maturities.","This sentence is neutral because it simply presents factual information about inflation compensation and energy prices in 2007 without expressing any personal opinion, judgement, or bias towards US monetary policy."
